,City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
169,São João da Barra,-21.64,-41.05,71.33,89,41,5.73,BR,1603258439
170,Nishihara,26.18,127.76,82.4,69,90,13.87,JP,1603258439
171,Lashio,22.93,97.75,72.07,86,100,2.21,MM,1603258440
172,Khambhāt,22.3,72.62,87.8,70,0,3.36,IN,1603258440
173,Yerbogachën,61.28,108.01,24.8,92,100,9.15,RU,1603258440
174,Kautokeino,69.01,23.04,24.51,97,96,3.71,NO,1603258440
175,Tsimmerbude,54.67,20.13,46.4,93,100,2.24,RU,1603258441
176,Khipro,25.83,69.38,96.08,11,0,3.47,PK,1603258441
177,Taunggyi,20.78,97.03,72.07,78,52,6.53,MM,1603258441
178,Ahipara,-35.17,173.17,62.42,76,100,3.33,NZ,1603258441
179,Álamos,27.02,-108.93,73.0,80,0,1.01,MX,1603258442
180,Almeirim,-1.52,-52.58,77.02,84,24,6.78,BR,1603258442
181,Kholtoson,50.3,103.31,37.89,62,0,5.37,RU,1603258442
182,Dondo,-19.61,34.74,78.8,88,75,10.29,MZ,1603258442
183,Riyadh,24.69,46.72,71.6,26,0,2.24,SA,1603258393
184,Kungurtug,50.6,97.52,36.72,74,90,1.66,RU,1603258443
185,Qaqortoq,60.72,-46.03,32.0,93,100,1.12,GL,1603258443
186,Clyde,41.3,-82.98,55.99,93,75,8.05,US,1603258443
187,Yeppoon,-23.13,150.73,75.2,78,75,6.93,AU,1603258443
188,Taltal,-25.4,-70.48,56.88,72,24,0.47,CL,1603258443
189,Magole,-6.37,37.37,66.2,100,20,4.99,TZ,1603258444
190,Reshetylivka,49.56,34.08,43.43,75,60,5.77,UA,1603258444
191,Zanesville,39.94,-82.01,59.0,100,90,6.38,US,1603258329
192,Mackay,-21.15,149.2,84.2,54,2,16.11,AU,1603258444
193,Emerald,-23.53,148.17,91.4,33,40,11.41,AU,1603258444
194,Road Town,18.42,-64.62,81.0,82,10,6.55,VG,1603258334
195,Karratha,-20.74,116.85,87.73,32,90,22.48,AU,1603258267
196,Sergeevka,53.88,67.42,48.52,71,6,8.03,KZ,1603258445
197,Caravelas,-17.71,-39.25,71.96,94,97,1.74,BR,1603258445
198,Greenville,35.61,-77.37,66.99,93,90,4.0,US,1603258428
199,Tynset,62.28,10.78,28.4,92,75,2.24,NO,1603258446
200,Aztec,36.82,-107.99,48.99,23,1,3.36,US,1603258446
201,Tabas,33.6,56.92,66.2,11,0,2.24,IR,1603258446
202,Taoudenni,22.68,-3.98,74.44,20,0,8.3,ML,1603258446
203,Bontang,0.13,117.5,87.06,65,100,7.09,ID,1603258446
204,Ilulissat,69.22,-51.1,33.8,86,100,9.17,GL,1603258447
205,Jalingo,8.88,11.37,75.54,84,0,2.75,NG,1603258447
206,Banff,51.18,-115.57,24.01,88,47,8.01,CA,1603258447
207,Watsa,3.04,29.54,69.06,91,100,4.25,CD,1603258447
208,Viedma,-40.81,-63.0,51.01,59,86,11.01,AR,1603258448
209,Grindavik,63.84,-22.43,35.6,93,75,8.05,IS,1603258448
210,Pampa,35.54,-100.96,57.2,93,1,12.75,US,1603258448
211,Norman Wells,65.28,-126.83,23.0,85,75,12.75,CA,1603258448
212,Chabahar,25.29,60.64,89.6,15,0,3.71,IR,1603258448
213,Maragogi,-9.01,-35.22,75.13,86,91,8.95,BR,1603258449
214,Biak,-0.91,122.88,84.25,63,45,10.0,ID,1603258449
215,Kamaishi,39.27,141.88,66.2,45,40,11.41,JP,1603258449
216,Inhambane,-23.86,35.38,75.2,83,40,6.93,MZ,1603258449
217,Pātūr,20.45,76.93,85.62,60,22,3.33,IN,1603258450
218,Port Alfred,-33.59,26.89,62.4,54,0,3.56,ZA,1603258450
219,Ténenkou,14.46,-4.92,78.58,26,0,0.92,ML,1603258450
220,Belaya Gora,68.53,146.42,8.17,92,68,2.91,RU,1603258450
221,Whitburn,54.95,-1.37,55.0,96,100,9.55,GB,1603258451
222,Lebu,-37.62,-73.65,47.55,85,0,15.88,CL,1603258451
223,Cabedelo,-6.98,-34.83,73.4,100,75,5.82,BR,1603258408
224,Thompson,55.74,-97.86,23.0,92,90,2.3,CA,1603258451
225,Tzucacab,20.07,-89.05,73.02,98,26,2.35,MX,1603258452
226,Codrington,-38.27,141.97,57.0,72,50,10.69,AU,1603258452
227,Beringovskiy,63.05,179.32,39.85,84,44,11.7,RU,1603258452
228,Tilichiki,60.47,166.1,37.87,94,100,8.57,RU,1603258452
229,Sioux Lookout,50.1,-91.92,28.4,92,90,3.36,CA,1603258245
230,Zolotonosha,49.67,32.04,45.46,73,80,9.44,UA,1603258453
231,Cidreira,-30.18,-50.21,67.26,95,56,13.78,BR,1603258453
232,College,64.86,-147.8,23.0,85,90,0.69,US,1603258453
233,Nouakchott,18.09,-15.98,80.6,34,0,14.99,MR,1603258453
234,Takoradze,4.88,-1.76,76.23,90,96,6.04,GH,1603258454
235,Cockburn Town,21.46,-71.14,81.16,79,71,14.61,TC,1603258375
236,Vila Franca do Campo,37.72,-25.43,59.0,67,20,10.29,PT,1603258454
